Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-10,23.49386,23.49386,23.49386,23.49386,2462893
1997-07-11,23.99423,23.99423,23.99423,23.99423,1557833
1997-07-14,21.60153,21.60153,21.60153,21.60153,398332
1997-07-15,19.50601,19.50601,19.50601,19.50601,832435
1997-07-16,21.39834,21.39834,21.39834,21.39834,570770
1997-07-17,21.80442,21.9933,21.80442,21.9933,769328
1997-07-18,21.49322,21.49322,20.80366,20.89825,267487
1997-07-21,21.49322,21.49322,21.30404,21.49322,366011
1997-07-22,21.49322,21.80442,21.49322,21.60153,237315
1997-07-23,21.69582,21.69582,21.10115,21.30404,203498
1997-07-24,21.49322,21.49322,21.30404,21.30404,248016
1997-07-25,21.39834,21.39834,21.19573,21.19573,197950
1997-07-28,21.00656,21.00656,20.69594,20.69594,206343
1997-07-29,20.50647,21.00656,20.50647,20.80366,118098
1997-07-30,20.80366,21.49322,20.80366,21.30404,131636
1997-07-31,21.19573,21.19573,20.69594,20.80366,130892
1997-08-01,20.80366,21.19573,20.80366,20.80366,97687
1997-08-04,21.00656,21.19573,21.00656,21.10115,138547
1997-08-05,21.19573,21.49322,21.19573,21.49322,204863
1997-08-06,21.49322,21.49322,21.19573,21.30404,149757
1997-08-07,21.39834,22.80401,21.39834,22.69629,187376
1997-08-08,22.3991,23.99423,22.3991,23.39927,370883
1997-08-11,22.99406,22.99406,22.30451,22.3991,266596
1997-08-12,22.30451,22.99406,22.30451,22.69629,220431
1997-08-13,22.99406,22.99406,22.99406,22.99406,295457
1997-08-14,22.1962,22.49368,22.1019,22.1962,128104
1997-08-18,21.89872,21.89872,21.30404,21.49322,123167
1997-08-19,22.1962,22.99406,22.1962,22.60199,230414
1997-08-20,22.80401,22.80401,22.3991,22.49368,225876
1997-08-21,21.9933,21.9933,21.80442,21.80442,78273
1997-08-22,21.69582,22.1962,21.69582,22.1019,75010
1997-08-25,21.80442,22.1019,21.49322,21.49322,70254
1997-08-26,21.49322,21.89872,21.49322,21.69582,81949
1997-08-27,21.69582,21.89872,21.69582,21.80442,77024
1997-08-28,22.30451,22.80401,22.30451,22.69629,306652
1997-08-29,22.49368,22.49368,22.30451,22.3991,328145
1997-09-01,22.1019,22.30451,22.1019,22.1019,87250
1997-09-02,22.49368,22.69629,22.49368,22.60199,202918
1997-09-03,22.80401,23.30468,22.80401,23.19637,387979
1997-09-04,22.80401,22.80401,22.49368,22.60199,202158
1997-09-05,22.49368,22.89918,22.49368,22.69629,174050
1997-09-08,22.60199,22.60199,22.3991,22.60199,68979
1997-09-09,22.30451,22.49368,22.30451,22.3991,132560
1997-09-10,22.30451,22.60199,22.30451,22.3991,129187
1997-09-11,22.1019,22.3991,22.1019,22.30451,130415
1997-09-12,22.30451,22.49368,22.30451,22.3991,117810
1997-09-15,22.1962,22.49368,22.1962,22.3991,105231
1997-09-16,22.1962,22.30451,21.9933,21.9933,116901
1997-09-17,21.89872,21.89872,21.69582,21.80442,126415
1997-09-18,21.60153,21.9933,21.49322,21.9933,183863
1997-09-19,22.49368,22.89918,22.49368,22.89918,468129
1997-09-22,22.99406,22.99406,22.60199,22.69629,294436
1997-09-23,22.69629,22.69629,22.3991,22.49368,200481
1997-09-24,22.1019,22.3991,22.1019,22.30451,142612
1997-09-25,21.89872,21.89872,21.60153,21.69582,210256
1997-09-26,21.60153,21.69582,21.49322,21.49322,185061
1997-09-29,21.69582,21.89872,21.69582,21.69582,148541
1997-09-30,22.1019,22.1019,21.69582,21.80442,133589
1997-10-01,21.9933,22.1019,21.89872,22.1019,232400
1997-10-02,21.89872,21.89872,21.69582,21.69582,183919
1997-10-03,21.9933,22.3991,21.9933,22.1962,485178
1997-10-06,21.9933,22.3991,21.9933,22.1962,506865
1997-10-07,21.9933,22.69629,21.9933,22.60199,495577
1997-10-08,22.69629,23.60187,22.69629,23.49386,783773
1997-10-09,22.99406,23.30468,22.89918,22.89918,766035
1997-10-10,22.60199,22.69629,22.3991,22.3991,378591
1997-10-13,22.80401,23.10179,22.80401,23.10179,329002
1997-10-14,22.99406,23.30468,22.80401,22.89918,398416
1997-10-15,23.30468,23.39927,23.19637,23.39927,593993
1997-10-16,23.49386,23.49386,23.10179,23.19637,368431
1997-10-17,23.30468,23.60187,23.30468,23.49386,410148
1997-10-20,23.60187,23.80506,23.60187,23.60187,597966
1997-10-21,23.89936,24.49432,23.89936,24.39973,513562
1997-10-22,24.49432,24.9947,24.49432,24.60234,588953
1997-10-23,24.39973,24.39973,23.49386,23.60187,1089860
1997-10-24,23.39927,23.80506,23.39927,23.69704,601039
1997-10-27,22.1962,22.30451,21.80442,21.80442,627814
1997-10-28,20.00668,20.00668,18.00604,18.30265,228999
1997-10-29,21.80442,21.80442,20.50647,21.30404,704971
1997-10-30,20.69594,20.69594,20.00668,20.39846,654355
1997-10-31,20.60077,20.80366,20.50647,20.69594,773473
1997-11-03,20.69594,21.10115,20.69594,21.00656,457606
1997-11-04,20.30387,20.50647,20.10097,20.19556,511776
1997-11-05,20.00668,20.10097,19.89837,19.89837,470460
